Soft Currency	Hard Currency	Heart	Food	Worlds	Upgrade	Level	Videos	Skill level	IAPs	IAP spend $	Additional SC	Get Heart Video	Double Reward Videos	Gacha Wheel Videos	Get Gems Videos
298.965330075091	5.327351885885421	0.0	9	0	9	4	0	0.1	1	1.99	0	0	0	0	0
1733.269436323316	29.074170815930426	0.0	13	0	13	7	0	0.10047712125471966	1	1.99	0	0	0	0	0
1776.6784342783264	33.92243257462164	0.0	14	0	14	7	0	0.10345939248775925	1	1.99	0	0	0	0	0
2367.6129595985676	14.640994722181798	0.0	17	0	17	9	0	0.10563548374681493	1	1.99	0	0	0	0	0
1901.98100524764	19.437856348430017	0.0	18	0	18	9	0	0.1092921567926998	1	1.99	0	0	0	0	0
980.8235259007657	19.128816681733838	0.0	27	1	27	14	0	0.11258882198296132	1	1.99	0	0	0	0	0
3733.529358897813	8.80016971010572	0.0	31	1	31	16	0	0.11444615447939256	1	1.99	0	0	0	0	0
3021.0376331294915	25.476883658096263	0.0	33	1	33	17	0	0.1163546394982712	1	1.99	0	0	0	0	0
7226.980794277295	35.26369530040343	0.0	34	1	34	18	0	0.11826312451714983	1	1.99	0	0	0	0	0
9689.684754866235	1.9086127765369143	0.0	36	1	36	19	0	0.11976827449546974	1	1.99	0	0	0	0	0
6726.284754866236	6.7486127765369135	0.0	37	1	37	19	0	0.12313075697022094	1	1.99	0	0	0	0	0
1241.4433791932324	17.275180845979833	0.0	40	2	40	21	0	0.1267150881945885	1	1.99	0	0	0	0	0
3344.191442409842	11.77137614260897	0.0	46	2	46	24	0	0.12701611819025246	1	1.99	0	0	0	0	0
5384.478806104518	20.416020145174716	0.0	48	2	48	25	0	0.1303786006650036	1	1.99	0	0	0	0	0
12145.008542824085	27.102673445263118	0.0	51	2	51	27	0	0.1327130544161545	1	1.99	0	0	0	0	0
6823.635742063268	31.788598314497545	0.0	52	2	52	27	0	0.13469532564919404	1	1.99	0	0	0	0	0
17823.27910868238	36.57105195215804	0.0	52	2	52	27	0	0.1385860819011122	1	1.99	0	0	0	0	0
26974.91440280003	46.378966390660715	0.0	53	2	53	28	0	0.13948917188810417	1	1.99	0	0	0	0	0
27653.91192601985	55.873131884609485	0.0	54	2	54	29	0	0.14066526314715985	1	1.99	0	0	0	0	0
12296.00403128301	1.5142503056621184	0.0	56	2	56	29	0	0.14440467724985853	1	1.99	0	0	0	0	0
29182.017189177743	6.366552937241066	0.0	56	2	56	29	0	0.1492154472610929	1	1.99	0	0	0	0	0
4538.14876812511	15.69550030566212	0.0	58	3	58	31	0	0.15234384652981067	1	1.99	0	0	0	0	0
1819.3461365461615	19.088592410925276	0.0	59	3	59	31	0	0.15402508776718624	1	1.99	0	0	0	0	0
5289.872452335635	23.220171358293694	0.0	59	3	59	31	0	0.1575533615443533	1	1.99	0	0	0	0	0
9596.158493525567	10.613420786211313	0.0	61	3	61	32	0	0.16023820690599772	1	1.99	0	0	0	0	0
3607.1537653746004	3.0300647519246047	0.0	65	3	65	34	0	0.1617433568843176	1	1.99	0	0	0	0	0
19437.336285076428	12.67629536786812	0.0	66	3	66	35	0	0.16385056685396543	1	1.99	0	0	0	0	0
5019.326132792161	17.184671002385887	0.0	67	3	67	35	0	0.16613386808266897	1	1.99	0	0	0	0	0
22665.696691167796	21.953960342487417	0.0	67	3	67	35	0	0.17110201467301697	1	1.99	0	0	0	0	0
29506.442102947	3.6732825773981643	0.0	69	3	69	36	0	0.17585881807790826	1	1.99	0	0	0	0	0
34939.814781616435	32.24361771922262	0.0	70	3	70	37	0	0.17723902931961985	1	1.99	0	0	0	0	0
61717.17853320073	36.721437744571155	0.0	70	3	70	37	0	0.17934623928926768	1	1.99	0	0	0	0	0
14624.097417864861	63.33613989919726	0.0	71	3	71	37	0	0.18339739181171508	2	3.98	0	0	0	0	0
43406.70469651777	68.14928492907232	0.0	71	3	71	37	0	0.18879824051699431	2	3.98	0	0	0	0	0
72052.88611965737	72.93961627073446	0.0	71	3	71	37	0	0.19492265083016602	2	3.98	0	0	0	0	0
61645.96413272518	82.7693963272591	0.0	72	3	72	38	0	0.19945438513944255	2	3.98	0	0	0	0	0
97554.874690896	87.621951808093	0.0	72	3	72	38	0	0.2046890694271803	2	3.98	0	0	0	0	0
45373.78540403923	4.407212012457512	0.0	74	3	74	39	0	0.21127879568343452	2	3.98	0	0	0	0	0
86772.6860382887	8.9766270935005	0.0	74	3	74	39	0	0.21348831069797713	2	3.98	0	0	0	0	0
128031.12155625908	13.530538298574497	0.0	74	3	74	39	0	0.21792997441877596	2	3.98	0	0	0	0	0
20703.89745477916	18.226098552274284	0.0	75	3	75	39	0	0.2238621233558524	2	3.98	0	0	0	0	0
64650.32451608994	23.076697565664	0.0	75	3	75	39	0	0.23050360936467246	2	3.98	0	0	0	0	0
108498.42599600536	27.91644386587542	0.0	75	3	75	39	0	0.23743942767948972	2	3.98	0	0	0	0	0
152758.98413554026	32.80171518370487	0.0	75	3	75	39	0	0.2450358101036313	2	3.98	0	0	0	0	0
8113.859713514199	41.61676352334337	0.0	77	4	77	41	0	0.24800708595236937	2	3.98	0	0	0	0	0
14575.145968243076	44.5537118209474	0.0	77	4	77	41	0	0.24956338845313664	2	3.98	0	0	0	0	0
21055.85214730991	47.49948735688686	0.0	77	4	77	41	0	0.2534966225818514	2	3.98	0	0	0	0	0
27500.492752606246	50.42886945020337	0.0	77	4	77	41	0	0.2577801047289004	2	3.98	0	0	0	0	0
34006.16740582188	53.385994292574104	0.0	77	4	77	41	0	0.2629085039976182	2	3.98	0	0	0	0	0
