Soft Currency	Hard Currency	Heart	Food	Worlds	Upgrade	Level	Videos	Skill level	IAPs	IAP spend $	Additional SC	Get Heart Video	Double Reward Videos	Gacha Wheel Videos	Get Gems Videos
967.1767341282778	13.116229407521976	0.0	10.56	0.0	10.56	5.3	1.43	0.0	0.0	0.0	0.0	0.05	0.25	0.47	0.66
2471.1391300812147	21.63544280967093	0.0	14.46	0.0	14.46	7.48	2.54	0.0	0.0	0.0	0.0	0.12	0.51	0.85	1.06
2790.763389498927	21.95397644459355	0.0	18.55	0.2	18.55	9.46	3.38	0.0	0.0	0.0	0.0	0.16	0.73	1.1	1.39
2960.2670502290734	9.433510025797501	0.0	23.99	0.53	23.99	12.44	4.19	0.0	0.0	0.0	0.0	0.18	0.94	1.38	1.69
3840.157091626557	12.15990535527542	0.0	28.24	0.76	28.24	14.67	5.12	0.0	0.0	0.0	0.0	0.2	1.13	1.8	1.99
4871.219479785549	17.362693388087663	0.0	31.94	1.0	31.94	16.73	6.36	0.0	0.0	0.0	0.0	0.27	1.4	2.21	2.48
7224.633188456998	21.5069786352314	0.0	34.37	1.0	34.37	17.97	7.36	0.0	0.0	0.0	0.0	0.34	1.65	2.56	2.81
9703.873282679775	28.95973018060152	0.0	35.67	1.0	35.67	18.63	8.37	0.0	0.0	0.0	0.0	0.41	1.91	2.92	3.13
12365.87904265665	34.34798737003096	0.0	36.76	1.03	36.76	19.09	9.21	0.0	0.0	0.0	0.0	0.48	2.24	3.16	3.33
15448.891012823451	28.467341851684946	0.0	39.71	1.26	39.71	20.58	10.24	0.0	0.0	0.0	0.0	0.53	2.57	3.5	3.64
13186.668996972712	15.88752821133528	0.0	46.74	1.76	46.74	24.4	11.44	0.0	0.0	0.0	0.0	0.57	2.86	3.93	4.08
14797.15653850131	16.31435303083792	0.0	50.54	1.98	50.54	26.57	12.4	0.0	0.0	0.0	0.0	0.66	3.02	4.3	4.42
17012.9963136105	23.131002687414686	0.0	52.17	2.0	52.17	27.49	13.28	0.0	0.0	0.0	0.0	0.72	3.22	4.6	4.74
18623.996720734518	29.84766656810824	0.0	53.48	2.0	53.48	28.2	14.12	0.0	0.0	0.0	0.0	0.79	3.41	4.88	5.04
20289.264140706728	36.337624893694745	0.0	54.34	2.0	54.34	28.56	15.01	0.0	0.0	0.0	0.0	0.85	3.72	5.13	5.31
24807.04856470661	43.33662973726039	0.0	54.96	2.0	54.96	28.85	15.78	0.0	0.0	0.0	0.0	0.91	3.92	5.39	5.56
30513.588862889632	49.48968996623951	0.0	55.43	2.0	55.43	28.91	16.84	0.0	0.0	0.0	0.0	0.95	4.34	5.69	5.86
36601.24881799113	49.187579749959205	0.0	56.53	2.1	56.53	29.45	17.49	0.0	0.0	0.0	0.0	0.99	4.56	5.9	6.04
28653.64660143171	31.898996254259654	0.0	60.01	2.53	60.01	31.45	18.42	0.0	0.0	0.0	0.0	1.06	4.74	6.22	6.4
19585.50660881221	15.144779439121969	0.0	63.87	2.89	63.87	33.56	19.52	0.0	0.0	0.0	0.0	1.13	5.04	6.58	6.77
23123.647116015236	12.381038311458974	0.0	65.51	2.97	65.51	34.4	20.48	0.0	0.0	0.0	0.0	1.21	5.32	6.89	7.06
28295.423752961113	12.042008384187143	0.0	66.7	3.0	66.7	34.94	21.2	0.0	0.0	0.0	0.0	1.27	5.51	7.14	7.28
34934.55447628331	12.372027074067894	0.0	67.8	3.0	67.8	35.5	21.96	0.0	0.0	0.0	0.0	1.32	5.65	7.44	7.55
42300.95180988635	14.47866888279677	0.0	68.76	3.0	68.76	35.96	22.83	0.0	0.0	0.0	0.0	1.34	5.89	7.73	7.87
49342.94331014553	19.564168411029744	0.0	69.66	3.0	69.66	36.5	23.79	0.0	0.0	0.0	0.0	1.37	6.21	8.06	8.15
